Party,Votes,Seats
Équipe Denis Coderre pour Montréal,268957,26
Projet Montréal - Équipe Bergeron,259077,20
Coalition Montréal - Marcel Côté,164512,6
Vrai changement pour Montréal - Groupe Mélanie Joly,103556,4
Équipe Anjou,15333,2
Intégrité Montréal,14787,0
Équipe Barbe Team &ndash; Pro action LaSalle,13258,2
Indépendant,11552,1
Équipe Dauphin Lachine,10925,2
Équipe Savard - option Verdun / Montréal,5025,0
Équipe conservons Outremont,3582,1
Équipe Andrée Champoux pour Verdun,2992,0
Équipe Richard Bélanger,2304,0
Parti alternatif LaSalle Alternative Party,2205,0
